step,waiting_time_avg,queue_length_max,throughput,occupancy_avg,speed_avg,green_phase_index,co2_mg,controller_mode
0,0.0,4,0,0.0,0.0,0,6084.0,dqn
1,0.0,0,0,0.0,1.943,0,13791.867,dqn
2,0.0,0,0,0.0,3.918,0,16387.894,dqn
3,0.0,2,0,0.0,4.179,0,25372.521,dqn
4,0.0,2,0,0.0,4.677,0,34438.32,dqn
5,0.0,0,0,0.0,6.531,0,39893.313,dqn
6,0.0,2,0,0.0,6.614,0,43601.465,dqn
7,0.0,0,0,0.0,8.001,0,39908.239,dqn
8,0.0,2,0,0.0,7.593,0,41822.167,dqn
9,0.0,0,0,0.0,8.68,0,44156.621,dqn
10,0.0,0,0,0.0,9.788,0,49912.233,dqn
11,0.0,0,0,0.0,10.219,0,30739.78,dqn
12,0.0,4,0,0.0,7.969,0,36579.731,dqn
13,0.0,0,0,0.0,8.54,0,36646.248,dqn
14,0.0,0,0,0.0,9.508,1,58982.815,dqn
15,0.0,0,0,0.0,9.999,1,40666.357,dqn
16,0.0,2,0,0.0,9.361,1,49500.124,dqn
17,0.0,0,0,0.0,9.933,2,51319.758,dqn
18,0.0,2,0,0.0,9.528,2,62241.383,dqn
19,0.0,0,0,0.0,10.061,2,53940.186,dqn
20,0.0,2,0,0.0,9.482,2,53895.124,dqn
21,0.0,0,0,0.0,9.936,2,54790.885,dqn
22,0.0,0,0,0.0,10.375,2,57098.179,dqn
23,0.0,0,0,0.0,10.84,2,62068.44,dqn
24,0.0,4,0,0.0,9.33,2,54735.125,dqn
25,0.0,0,0,0.0,9.802,2,63611.868,dqn
26,0.0,0,0,0.0,10.17,2,62214.128,dqn
27,0.0,2,0,0.0,9.977,2,83794.564,dqn
28,0.0,2,0,0.0,9.859,2,86125.864,dqn
29,0.0,0,0,0.0,10.175,2,66991.679,dqn
30,0.0,2,0,0.0,10.014,2,89077.69,dqn
31,0.0,0,0,0.0,10.3,2,68031.793,dqn
32,0.0,2,0,0.0,9.94,3,73726.234,dqn
33,0.0,0,0,0.0,10.313,3,82575.193,dqn
34,0.0,0,0,0.0,10.633,3,83034.529,dqn
35,0.0,0,0,0.0,10.973,3,85486.912,dqn
