step,waiting_time_avg,queue_length_max,throughput,occupancy_avg,speed_avg,green_phase_index,co2_mg,controller_mode
0,0.0,4,0,0.0,0.0,0,6084.0,fixed
1,0.0,0,0,0.0,1.943,0,13791.867,fixed
2,0.0,0,0,0.0,3.918,0,16387.894,fixed
3,0.0,2,0,0.0,4.179,0,25372.521,fixed
4,0.0,2,0,0.0,4.677,0,34438.32,fixed
5,0.0,0,0,0.0,6.531,0,39893.313,fixed
6,0.0,2,0,0.0,6.635,0,44388.361,fixed
7,0.0,0,0,0.0,8.085,0,43069.285,fixed
8,0.0,2,0,0.0,7.662,0,41975.738,fixed
9,0.0,0,0,0.0,8.75,0,44156.621,fixed
10,0.0,0,0,0.0,9.857,0,50114.486,fixed
11,0.0,0,0,0.0,10.342,0,33003.105,fixed
12,0.0,4,0,0.0,8.061,0,36607.438,fixed
13,0.0,0,0,0.0,8.632,0,36812.831,fixed
14,0.0,0,0,0.0,9.6,0,59270.342,fixed
15,0.0,0,0,0.0,10.168,0,44821.066,fixed
16,0.0,2,0,0.0,9.532,0,51422.792,fixed
17,0.0,0,0,0.0,10.105,0,51603.054,fixed
18,0.0,2,0,0.0,9.683,0,62492.437,fixed
19,0.0,0,0,0.0,10.275,0,58832.431,fixed
20,0.0,2,0,0.0,9.73,0,58363.851,fixed
21,0.0,0,0,0.0,10.184,0,55154.384,fixed
22,0.0,0,0,0.0,10.623,0,57501.159,fixed
23,0.0,0,0,0.0,11.088,0,62930.662,fixed
24,0.0,4,0,0.0,9.54,0,55237.917,fixed
25,0.0,0,0,0.0,10.012,0,63953.045,fixed
26,0.0,0,0,0.0,10.38,0,62617.287,fixed
27,0.0,2,0,0.0,10.177,0,85096.898,fixed
28,0.0,2,0,0.0,10.054,0,87831.722,fixed
29,0.0,0,0,0.0,10.359,0,65969.475,fixed
30,0.0,2,0,0.0,10.177,0,89752.196,fixed
31,0.0,0,0,0.0,10.464,0,68602.29,fixed
32,0.0,2,0,0.0,10.11,0,74233.917,fixed
33,0.0,0,0,0.0,10.528,0,89688.057,fixed
34,0.0,0,0,0.0,10.851,0,85137.445,fixed
35,0.0,0,0,0.0,11.189,0,87135.684,fixed
36,0.0,4,0,0.0,10.087,0,78375.71,fixed
37,0.0,0,0,0.0,10.527,0,98779.587,fixed
38,0.0,0,0,0.0,10.826,0,91562.55,fixed
39,0.0,0,0,0.0,11.249,0,106411.211,fixed
40,0.0,2,0,0.0,11.002,0,105231.133,fixed
41,0.0,0,0,0.0,11.206,0,89418.312,fixed
42,0.0,2,0,0.0,10.942,0,104122.357,fixed
43,0.0,0,0,0.0,10.937,0,63924.962,fixed
44,0.0,2,0,0.0,10.787,0,117655.208,fixed
45,0.0,0,0,0.0,10.775,0,78705.29,fixed
46,0.0,0,0,0.0,11.065,0,117425.566,fixed
47,0.0,0,0,0.0,11.172,0,96634.477,fixed
48,0.021,5,0,0.0,10.377,0,113411.007,fixed
49,0.042,1,0,0.0,10.573,0,116002.417,fixed
50,0.062,1,0,0.0,10.7,0,95630.682,fixed
51,0.08,3,0,0.0,10.471,0,116137.961,fixed
52,0.115,4,0,0.0,10.211,1,100793.159,fixed
53,0.154,2,0,0.0,10.527,1,126648.716,fixed
54,0.204,5,0,0.0,10.355,1,121312.122,fixed
55,0.259,3,0,0.0,10.586,1,119276.503,fixed
56,0.304,5,0,0.0,10.352,1,107440.241,fixed
57,0.357,3,0,0.0,10.519,1,129301.618,fixed
58,0.411,3,0,0.0,10.519,1,105632.296,fixed
59,0.464,3,0,0.0,10.355,1,116326.847,fixed
60,0.483,7,0,0.0,9.454,1,136225.254,fixed
61,0.567,5,0,0.0,9.174,1,109840.851,fixed
62,0.65,5,0,0.0,9.207,1,124798.557,fixed
63,0.8,9,0,0.0,9.137,1,113958.707,fixed
64,0.952,13,0,0.0,8.763,1,124270.481,fixed
65,1.145,12,0,0.0,8.814,1,125273.501,fixed
66,1.297,14,0,0.0,8.596,1,132538.2,fixed
67,0.797,11,0,0.0,8.716,2,125893.897,fixed
68,0.515,9,0,0.0,8.571,2,140753.785,fixed
69,0.545,6,0,0.0,8.857,2,152957.951,fixed
70,0.652,7,0,0.0,9.068,2,155305.576,fixed
71,0.773,8,0,0.0,9.481,2,190938.681,fixed
72,0.843,12,0,0.0,9.072,2,160211.413,fixed
73,0.971,8,1,0.0,9.138,2,139512.134,fixed
74,1.1,11,0,0.0,9.164,2,158660.58,fixed
75,1.225,11,0,0.0,9.064,2,140697.018,fixed
76,1.329,12,0,0.0,8.873,2,160150.27,fixed
77,1.493,12,0,0.0,9.083,2,164665.595,fixed
78,1.613,14,0,0.0,8.944,2,161240.466,fixed
79,1.797,12,1,0.0,8.91,2,142624.752,fixed
80,1.933,14,1,0.0,8.761,2,164702.076,fixed
81,2.107,13,0,0.0,8.759,2,147369.113,fixed
82,2.28,13,0,0.0,8.746,2,133223.416,fixed
83,2.521,13,2,0.0,8.605,2,154061.052,fixed
84,2.558,17,0,0.0,8.161,2,164123.285,fixed
85,2.789,15,1,0.0,7.984,2,129451.191,fixed
86,3.0,16,0,0.0,8.077,2,152877.213,fixed
87,3.253,16,1,0.0,8.117,2,157245.236,fixed
88,3.403,20,0,0.0,8.031,2,152219.223,fixed
89,3.636,18,0,0.0,8.128,2,153726.019,fixed
90,3.785,21,0,0.0,8.118,2,176843.821,fixed
91,4.025,19,0,0.0,8.261,2,162201.76,fixed
92,4.213,21,1,0.0,8.075,2,137071.24,fixed
93,4.45,19,0,0.0,8.224,2,169197.433,fixed
94,4.688,19,0,0.0,8.195,2,151355.851,fixed
95,4.925,19,0,0.0,8.182,2,156547.904,fixed
96,4.917,23,0,0.0,7.727,2,147608.755,fixed
97,5.155,20,0,0.0,7.759,2,166823.165,fixed
98,5.341,22,0,0.0,7.712,2,158679.552,fixed
99,5.547,24,0,0.0,7.666,2,161467.393,fixed
100,3.205,19,0,0.0,7.637,0,168446.073,fixed
101,1.58,11,0,0.0,7.832,0,196941.098,fixed
102,0.544,8,0,0.0,7.734,0,176530.209,fixed
103,0.067,1,0,0.0,8.118,0,207925.993,fixed
104,0.0,2,0,0.0,8.415,0,235737.974,fixed
105,0.011,1,0,0.0,8.874,0,236229.619,fixed
106,0.033,2,0,0.0,9.44,0,271940.706,fixed
107,0.054,2,0,0.0,9.935,0,282115.896,fixed
108,0.094,8,0,0.0,9.901,0,281550.367,fixed
109,0.147,5,1,0.0,10.348,0,279046.392,fixed
110,0.2,5,0,0.0,10.607,0,228482.629,fixed
111,0.253,5,0,0.0,10.824,0,232378.808,fixed
112,0.302,7,1,0.0,10.715,0,216893.72,fixed
113,0.354,5,0,0.0,10.868,0,224141.614,fixed
114,0.412,8,1,0.0,10.639,0,189757.14,fixed
115,0.474,6,0,0.0,10.66,0,194893.588,fixed
116,0.535,9,0,0.0,10.487,0,198001.678,fixed
117,0.619,7,2,0.0,10.495,0,190421.467,fixed
118,0.708,8,1,0.0,10.489,0,191969.121,fixed
119,0.8,8,1,0.0,10.491,0,195629.897,fixed
120,0.859,13,0,0.0,10.164,0,218306.206,fixed
121,0.969,9,2,0.0,10.18,0,172787.174,fixed
122,1.083,10,1,0.0,10.23,0,199323.406,fixed
123,1.186,13,1,0.0,10.084,0,202212.716,fixed
124,1.273,13,0,0.0,10.018,0,212053.586,fixed
125,1.394,12,0,0.0,10.182,0,206928.595,fixed
126,1.5,14,1,0.0,10.06,0,206234.71,fixed
127,1.653,12,2,0.0,10.106,0,198123.365,fixed
128,1.74,14,0,0.0,10.02,0,225199.688,fixed
129,1.889,13,1,0.0,10.016,0,189092.62,fixed
130,2.03,14,0,0.0,10.043,0,199528.852,fixed
131,2.172,14,0,0.0,10.0,0,190833.057,fixed
132,2.233,19,0,0.0,9.594,0,194229.382,fixed
133,2.388,16,0,0.0,9.765,0,231476.665,fixed
134,2.553,17,0,0.0,9.886,0,217776.82,fixed
135,2.718,17,0,0.0,10.036,0,227045.492,fixed
136,2.883,19,2,0.0,9.929,0,216521.306,fixed
137,3.109,17,2,0.0,9.867,0,201369.144,fixed
138,3.245,19,1,0.0,9.738,0,218299.97,fixed
139,3.446,17,1,0.0,9.849,0,224362.115,fixed
140,3.553,20,0,0.0,9.713,0,208164.487,fixed
141,3.765,18,1,0.0,9.83,0,218343.647,fixed
142,3.98,18,1,0.0,9.858,0,185833.763,fixed
143,4.286,18,3,0.0,9.738,0,177924.422,fixed
144,4.434,23,3,0.0,9.478,0,239532.466,fixed
145,4.722,19,2,0.0,9.458,0,176382.805,fixed
146,5.021,19,2,0.0,9.466,0,210262.811,fixed
147,5.391,21,5,0.0,9.041,0,177403.774,fixed
148,5.722,21,4,0.0,8.737,0,173963.129,fixed
149,5.944,20,0,0.0,8.867,0,179750.048,fixed
150,6.178,23,2,0.0,8.777,0,201800.285,fixed
151,6.568,22,2,0.0,8.748,0,174007.522,fixed
152,6.667,24,0,0.0,8.612,1,189825.703,fixed
153,7.149,22,3,0.0,8.546,1,176528.767,fixed
154,7.425,24,0,0.0,8.555,1,172805.513,fixed
155,7.791,24,1,0.0,8.522,1,179482.752,fixed
156,7.798,28,1,0.0,8.048,1,174101.812,fixed
157,8.276,26,2,0.0,7.888,1,161414.914,fixed
158,8.788,27,2,0.0,7.71,1,155597.871,fixed
159,9.106,27,0,0.0,7.645,1,165645.217,fixed
160,9.447,31,2,0.0,7.346,1,166131.184,fixed
161,9.812,31,0,0.0,7.321,1,156417.049,fixed
162,10.081,35,1,0.0,7.016,1,152680.754,fixed
163,10.465,33,0,0.0,6.966,1,162237.198,fixed
164,10.602,35,0,0.0,6.738,1,154649.572,fixed
165,11.115,34,1,0.0,6.645,1,161448.077,fixed
166,11.529,36,0,0.0,6.685,1,171817.219,fixed
167,9.218,33,0,0.0,6.784,2,172692.555,fixed
168,6.789,35,1,0.0,6.554,2,187601.478,fixed
169,5.202,27,1,0.0,6.578,2,177082.778,fixed
170,3.636,24,1,0.0,6.658,2,190602.639,fixed
171,2.478,22,0,0.0,6.61,2,191980.372,fixed
172,1.793,20,0,0.0,6.853,2,233082.093,fixed
173,1.356,17,2,0.0,7.009,2,201067.408,fixed
174,1.198,15,1,0.0,7.267,2,232082.646,fixed
175,1.191,11,2,0.0,7.666,2,246842.069,fixed
176,1.3,13,1,0.0,7.714,2,223238.413,fixed
177,1.422,11,0,0.0,7.993,2,207401.058,fixed
178,1.544,11,0,0.0,8.28,2,212548.441,fixed
179,1.678,12,0,0.0,8.506,2,209698.334,fixed
180,1.755,18,0,0.0,8.442,2,231321.052,fixed
181,1.904,14,0,0.0,8.631,2,217257.015,fixed
182,2.075,14,1,0.0,8.761,2,195352.936,fixed
183,2.226,14,0,0.0,8.778,2,196613.307,fixed
184,2.337,17,0,0.0,8.561,2,186905.092,fixed
185,2.532,16,1,0.0,8.629,2,203372.223,fixed
186,2.646,18,0,0.0,8.538,2,196300.683,fixed
187,2.812,16,0,0.0,8.656,2,203700.498,fixed
188,2.929,19,0,0.0,8.434,2,178546.461,fixed
189,3.102,17,0,0.0,8.391,2,172197.205,fixed
190,3.32,18,1,0.0,8.443,2,195433.311,fixed
191,3.526,20,0,0.0,8.522,2,196977.707,fixed
192,3.584,24,0,0.0,8.236,2,210941.824,fixed
193,3.782,20,0,0.0,8.346,2,204516.122,fixed
194,3.99,21,0,0.0,8.447,2,201530.324,fixed
195,4.117,23,0,0.0,8.327,2,208747.323,fixed
196,4.238,23,0,0.0,8.268,2,213505.504,fixed
197,4.448,22,0,0.0,8.397,2,225175.766,fixed
198,4.57,24,0,0.0,8.32,2,211635.611,fixed
199,4.776,22,0,0.0,8.428,2,223104.146,fixed
200,2.78,19,0,0.0,8.439,0,218008.61,fixed
201,1.422,11,0,0.0,8.705,0,239249.539,fixed
202,0.422,6,0,0.0,9.071,0,258380.349,fixed
203,0.055,2,0,0.0,9.465,0,274909.559,fixed
204,0.0,4,0,0.0,9.364,0,256013.443,fixed
205,0.0,0,0,0.0,9.81,0,318827.752,fixed
206,0.0,0,0,0.0,10.142,0,281611.906,fixed
207,0.0,0,0,0.0,10.633,0,338238.36,fixed
208,0.009,3,0,0.0,10.771,0,307008.828,fixed
209,0.017,1,0,0.0,11.076,0,297203.038,fixed
210,0.026,3,0,0.0,11.035,0,261925.487,fixed
211,0.034,1,0,0.0,11.086,0,269325.927,fixed
212,0.059,5,0,0.0,10.722,0,192259.698,fixed
213,0.084,3,0,0.0,10.724,0,250822.376,fixed
214,0.126,5,0,0.0,10.756,0,250336.479,fixed
215,0.178,6,1,0.0,10.872,0,277182.757,fixed
216,0.225,10,2,0.0,10.508,0,228185.45,fixed
217,0.291,7,3,0.0,10.514,0,215719.513,fixed
218,0.35,7,0,0.0,10.603,0,251158.137,fixed
219,0.41,9,2,0.0,10.475,0,222251.69,fixed
220,0.471,10,0,0.0,10.421,0,249209.03,fixed
221,0.547,8,2,0.0,10.506,0,230446.784,fixed
222,0.605,10,0,0.0,10.412,0,248986.856,fixed
223,0.69,8,3,0.0,10.511,0,249034.139,fixed
224,0.759,10,2,0.0,10.309,0,220595.47,fixed
225,0.867,10,3,0.0,10.45,0,245885.311,fixed
226,0.973,10,2,0.0,10.509,0,229795.032,fixed
227,1.073,10,1,0.0,10.524,0,205534.47,fixed
228,1.123,14,0,0.0,10.048,0,185246.694,fixed
229,1.221,10,1,0.0,10.14,0,240703.365,fixed
230,1.355,11,3,0.0,10.081,0,205165.191,fixed
231,1.491,12,2,0.0,10.172,0,234284.318,fixed
232,1.626,15,3,0.0,10.071,0,216756.849,fixed
233,1.764,13,1,0.0,10.19,0,227438.266,fixed
234,1.923,15,4,0.0,10.049,0,213812.7,fixed
235,2.068,13,1,0.0,10.05,0,219148.165,fixed
236,2.238,15,4,0.0,9.882,0,225473.478,fixed
237,2.366,13,0,0.0,9.933,0,209993.765,fixed
238,2.608,14,4,0.0,9.889,0,203750.469,fixed
239,2.821,15,2,0.0,9.843,0,197272.996,fixed
240,2.918,19,2,0.0,9.38,0,189310.011,fixed
241,3.082,16,0,0.0,9.428,0,179530.84,fixed
242,3.362,17,3,0.0,9.41,0,206189.851,fixed
243,3.505,19,1,0.0,9.303,0,210735.01,fixed
244,3.656,20,1,0.0,9.217,0,212431.91,fixed
245,3.968,18,3,0.0,9.117,0,174985.368,fixed
246,4.161,20,2,0.0,9.08,0,228894.286,fixed
247,4.402,18,1,0.0,9.212,0,212505.06,fixed
248,4.648,20,3,0.0,8.893,0,175238.47,fixed
249,4.955,18,2,0.0,9.007,0,201464.571,fixed
250,5.227,19,1,0.0,9.081,0,181644.133,fixed
251,5.702,19,4,0.0,8.992,0,167415.016,fixed
252,5.802,24,2,0.0,8.457,1,159451.018,fixed
253,6.179,20,2,0.0,8.502,1,200082.788,fixed
254,6.417,20,0,0.0,8.599,1,187035.786,fixed
255,6.747,21,1,0.0,8.544,1,168511.262,fixed
256,6.847,24,0,0.0,8.295,1,153017.96,fixed
257,7.19,22,1,0.0,8.241,1,160166.412,fixed
258,7.464,25,2,0.0,7.876,1,149890.81,fixed
259,7.75,24,0,0.0,7.974,1,183758.783,fixed
260,7.86,27,0,0.0,7.755,1,151581.482,fixed
261,8.163,26,0,0.0,7.838,1,163042.159,fixed
262,8.565,26,1,0.0,7.9,1,171439.409,fixed
263,8.976,26,1,0.0,7.753,1,147849.139,fixed
264,8.875,31,0,0.0,7.273,1,166865.351,fixed
265,9.407,28,2,0.0,7.084,1,161331.014,fixed
266,9.756,30,0,0.0,6.941,1,150824.824,fixed
267,7.318,29,0,0.0,6.715,2,169805.676,fixed
268,5.233,27,0,0.0,6.615,2,186480.442,fixed
269,3.67,25,2,0.0,6.716,2,205262.51,fixed
270,2.427,24,1,0.0,6.799,2,207578.784,fixed
271,1.568,19,1,0.0,7.115,2,211635.533,fixed
272,1.146,18,1,0.0,7.294,2,219303.95,fixed
273,1.115,13,2,0.0,7.599,2,229076.152,fixed
274,1.115,10,0,0.0,7.934,2,223729.505,fixed
275,1.23,10,0,0.0,8.358,2,236100.986,fixed
276,1.286,14,0,0.0,8.283,2,221508.97,fixed
277,1.407,11,0,0.0,8.567,2,214428.447,fixed
278,1.527,11,0,0.0,8.658,2,202451.593,fixed
279,1.648,11,0,0.0,8.699,2,207116.06,fixed
280,1.783,16,1,0.0,8.412,2,180730.141,fixed
281,1.967,15,1,0.0,8.488,2,201455.383,fixed
282,2.086,17,0,0.0,8.503,2,225169.131,fixed
283,2.258,16,0,0.0,8.669,2,194916.503,fixed
284,2.379,18,0,0.0,8.435,2,167435.265,fixed
285,2.596,18,1,0.0,8.408,2,193682.561,fixed
286,2.817,18,1,0.0,8.373,2,162708.948,fixed
287,3.011,18,0,0.0,8.424,2,184138.258,fixed
288,3.147,23,2,0.0,8.132,2,207171.947,fixed
289,3.358,20,0,0.0,8.252,2,185971.064,fixed
290,3.568,20,0,0.0,8.419,2,203310.43,fixed
291,3.701,22,0,0.0,8.31,2,176898.77,fixed
292,3.828,22,0,0.0,8.187,2,176946.06,fixed
293,4.03,20,0,0.0,8.328,2,202192.383,fixed
294,4.149,22,0,0.0,8.118,2,183532.726,fixed
295,4.347,20,0,0.0,8.237,2,211142.405,fixed
296,4.466,23,0,0.0,8.157,2,196738.581,fixed
297,4.68,22,0,0.0,8.338,2,218955.244,fixed
298,4.893,22,0,0.0,8.356,2,200089.998,fixed
299,5.107,22,0,0.0,8.326,2,190334.144,fixed
300,3.009,20,0,0.0,8.066,0,214019.452,fixed
301,1.551,12,0,0.0,8.083,0,189775.798,fixed
302,0.579,7,0,0.0,8.191,0,211200.946,fixed
303,0.056,3,0,0.0,8.412,0,247998.442,fixed
304,0.046,4,0,0.0,8.497,0,267358.398,fixed
305,0.055,2,0,0.0,8.866,0,274412.54,fixed
306,0.099,7,0,0.0,9.214,0,302728.945,fixed
307,0.145,5,1,0.0,9.714,0,326290.532,fixed
308,0.188,7,0,0.0,9.885,0,291174.559,fixed
309,0.232,5,0,0.0,10.315,0,310921.586,fixed
310,0.277,5,0,0.0,10.585,0,289743.894,fixed
311,0.324,5,1,0.0,10.708,0,250046.551,fixed
312,0.357,9,0,0.0,10.409,0,257455.332,fixed
313,0.409,6,0,0.0,10.343,0,216570.588,fixed
314,0.469,6,2,0.0,10.33,0,225426.05,fixed
315,0.522,9,0,0.0,10.214,0,239502.233,fixed
316,0.595,11,1,0.0,10.05,0,236850.559,fixed
317,0.672,9,0,0.0,10.131,0,237433.901,fixed
318,0.759,12,2,0.0,10.056,0,238744.998,fixed
319,0.852,10,1,0.0,10.179,0,240678.125,fixed
320,0.939,12,2,0.0,10.008,0,225136.188,fixed
321,1.035,10,1,0.0,10.057,0,230561.025,fixed
322,1.153,10,3,0.0,10.02,0,213495.185,fixed
323,1.252,11,0,0.0,10.112,0,230826.698,fixed
324,1.325,16,1,0.0,9.786,0,246214.949,fixed
325,1.455,12,2,0.0,9.769,0,200582.447,fixed
326,1.562,12,0,0.0,9.914,0,242526.51,fixed
327,1.709,13,2,0.0,9.942,0,203541.346,fixed
328,1.804,16,0,0.0,9.852,0,223255.106,fixed
329,1.946,14,1,0.0,10.014,0,250552.099,fixed
330,2.035,16,0,0.0,9.875,0,218571.213,fixed
331,2.218,14,3,0.0,9.96,0,213768.5,fixed
332,2.304,16,0,0.0,9.874,0,221906.488,fixed
333,2.473,14,2,0.0,10.048,0,247634.702,fixed
334,2.6,14,0,0.0,10.137,0,211910.857,fixed
335,2.83,14,4,0.0,10.204,0,232127.526,fixed
336,2.855,18,0,0.0,9.789,0,201624.505,fixed
337,3.094,14,4,0.0,9.817,0,216941.012,fixed
338,3.32,14,3,0.0,9.905,0,215339.285,fixed
339,3.433,17,1,0.0,9.69,0,204744.022,fixed
340,3.647,17,4,0.0,9.395,0,210426.555,fixed
341,3.929,17,3,0.0,9.312,0,196115.865,fixed
342,4.07,20,1,0.0,9.195,0,224239.529,fixed
343,4.337,18,2,0.0,9.255,0,223020.367,fixed
344,4.485,21,1,0.0,9.014,0,177975.406,fixed
345,4.833,20,3,0.0,9.095,0,225965.764,fixed
346,5.16,21,2,0.0,9.015,0,180667.684,fixed
347,5.56,21,3,0.0,9.035,0,214623.468,fixed
