step,waiting_time_avg,queue_length_max,throughput,occupancy_avg,speed_avg,green_phase_index,co2_mg,controller_mode
0,0.0,8,0,0.0,0.0,0,12168.0,adaptive
1,0.0,0,0,0.0,1.834,0,26464.802,adaptive
2,0.0,0,0,0.0,3.841,0,32854.405,adaptive
3,0.0,6,0,0.0,3.467,0,51449.945,adaptive
4,0.0,2,0,0.0,4.725,0,69003.445,adaptive
5,0.0,0,0,0.0,6.698,0,82264.565,adaptive
6,0.0,2,0,0.0,7.28,0,74849.855,adaptive
7,0.0,2,0,0.0,7.82,0,83378.022,adaptive
8,0.0,0,0,0.0,9.02,0,82687.43,adaptive
9,0.0,4,0,0.0,8.338,0,81739.434,adaptive
10,0.0,2,0,0.0,8.505,0,85430.504,adaptive
11,0.0,0,0,0.0,9.325,0,82547.936,adaptive
12,0.0,4,0,0.0,8.789,0,92216.715,adaptive
13,0.0,4,0,0.0,8.464,0,102123.963,adaptive
14,0.0,0,0,0.0,9.082,0,87578.666,adaptive
15,0.0,4,0,0.0,8.743,0,112495.126,adaptive
16,0.0,2,0,0.0,9.0,0,117867.376,adaptive
17,0.0,2,0,0.0,9.244,0,124574.487,adaptive
18,0.0,2,0,0.0,9.581,0,148569.554,adaptive
19,0.0,2,0,0.0,9.71,0,122032.478,adaptive
20,0.0,0,0,0.0,10.316,0,136868.914,adaptive
21,0.0,2,0,0.0,10.322,0,129336.693,adaptive
22,0.0,2,0,0.0,10.302,0,128401.763,adaptive
23,0.0,0,0,0.0,10.76,0,137248.997,adaptive
24,0.0,4,0,0.0,10.216,0,125559.314,adaptive
25,0.0,0,0,0.0,10.672,0,144917.468,adaptive
26,0.0,4,0,0.0,10.267,0,143703.509,adaptive
27,0.0,4,0,0.0,9.885,0,141710.182,adaptive
28,0.0,0,0,0.0,10.356,0,164559.165,adaptive
29,0.0,4,0,0.0,10.142,0,170590.791,adaptive
30,0.0,2,0,0.0,10.25,0,169940.356,adaptive
31,0.0,0,0,0.0,10.675,0,174882.968,adaptive
32,0.0,2,0,0.0,10.742,0,181792.18,adaptive
33,0.0,2,0,0.0,10.788,0,189395.549,adaptive
34,0.0,2,0,0.0,10.753,0,169442.87,adaptive
35,0.0,4,0,0.0,10.445,0,179247.678,adaptive
36,0.0,2,0,0.0,10.518,0,191766.177,adaptive
37,0.0,0,0,0.0,10.79,0,179695.289,adaptive
38,0.0,4,0,0.0,10.516,0,190435.483,adaptive
39,0.0,4,0,0.0,10.381,0,225620.192,adaptive
40,0.0,0,0,0.0,10.772,0,230740.213,adaptive
41,0.0,2,0,0.0,10.809,0,204018.988,adaptive
42,0.0,4,0,0.0,10.619,0,218353.346,adaptive
43,0.0,0,0,0.0,10.955,0,224930.236,adaptive
44,0.0,2,0,0.0,10.92,0,214010.444,adaptive
45,0.0,2,0,0.0,10.981,0,238262.972,adaptive
46,0.0,0,0,0.0,11.12,0,209419.032,adaptive
47,0.0,2,0,0.0,10.891,0,196850.725,adaptive
48,0.0,4,0,0.0,10.647,0,240745.033,adaptive
49,0.0,0,0,0.0,10.892,0,239408.477,adaptive
50,0.028,5,0,0.0,10.783,0,204633.941,adaptive
51,0.054,9,0,0.0,10.471,1,266648.613,adaptive
