step,waiting_time_avg,queue_length_max,throughput,occupancy_avg,speed_avg,green_phase_index,co2_mg,controller_mode
0,0.0,8,0,0.0,0.0,0,12168.0,fixed
1,0.0,0,0,0.0,1.834,0,26464.802,fixed
2,0.0,0,0,0.0,3.841,0,32854.405,fixed
3,0.0,6,0,0.0,3.467,0,51449.945,fixed
4,0.0,2,0,0.0,4.725,0,69003.445,fixed
5,0.0,0,0,0.0,6.698,0,82264.565,fixed
6,0.0,2,0,0.0,7.28,0,74849.855,fixed
7,0.0,2,0,0.0,7.82,0,83378.022,fixed
8,0.0,0,0,0.0,9.02,0,82687.43,fixed
9,0.0,4,0,0.0,8.338,0,81739.434,fixed
10,0.0,2,0,0.0,8.505,0,85430.504,fixed
11,0.0,0,0,0.0,9.325,0,82547.936,fixed
12,0.0,4,0,0.0,8.789,0,92216.715,fixed
13,0.0,4,0,0.0,8.464,0,102123.963,fixed
14,0.0,0,0,0.0,9.082,0,87578.666,fixed
15,0.0,4,0,0.0,8.743,0,112495.126,fixed
16,0.0,2,0,0.0,9.0,0,117867.376,fixed
17,0.0,2,0,0.0,9.244,0,124574.487,fixed
18,0.0,2,0,0.0,9.581,0,148569.554,fixed
19,0.0,2,0,0.0,9.71,0,122032.478,fixed
20,0.0,0,0,0.0,10.316,0,136868.914,fixed
21,0.0,2,0,0.0,10.322,0,129336.693,fixed
22,0.0,2,0,0.0,10.302,0,128401.763,fixed
23,0.0,0,0,0.0,10.76,0,137248.997,fixed
24,0.0,4,0,0.0,10.216,0,125559.314,fixed
25,0.0,0,0,0.0,10.672,0,144917.468,fixed
26,0.0,4,0,0.0,10.267,0,143703.509,fixed
27,0.0,4,0,0.0,9.885,0,141710.182,fixed
28,0.0,0,0,0.0,10.356,0,164559.165,fixed
29,0.0,4,0,0.0,10.142,0,170590.791,fixed
30,0.0,2,0,0.0,10.25,0,169940.356,fixed
31,0.0,0,0,0.0,10.675,0,174882.968,fixed
32,0.0,2,0,0.0,10.742,0,181792.18,fixed
33,0.0,2,0,0.0,10.788,0,189395.549,fixed
34,0.0,2,0,0.0,10.753,0,169442.87,fixed
35,0.0,4,0,0.0,10.445,0,179247.678,fixed
36,0.0,2,0,0.0,10.518,0,191766.177,fixed
37,0.0,0,0,0.0,10.79,0,179695.289,fixed
38,0.0,4,0,0.0,10.516,0,190435.483,fixed
39,0.0,4,0,0.0,10.381,0,225620.192,fixed
40,0.0,0,0,0.0,10.772,0,230740.213,fixed
41,0.0,2,0,0.0,10.809,0,204018.988,fixed
42,0.0,4,0,0.0,10.619,0,218353.346,fixed
43,0.0,0,0,0.0,10.955,0,224930.236,fixed
44,0.0,2,0,0.0,10.92,0,214010.444,fixed
45,0.0,2,0,0.0,10.981,0,238262.972,fixed
46,0.0,0,0,0.0,11.12,0,209419.032,fixed
47,0.0,2,0,0.0,10.891,0,196850.725,fixed
48,0.0,4,0,0.0,10.647,0,240745.033,fixed
49,0.0,0,0,0.0,10.892,0,239408.477,fixed
50,0.028,5,0,0.0,10.783,0,204633.941,fixed
51,0.054,9,0,0.0,10.471,0,266648.613,fixed
52,0.08,3,0,0.0,10.684,1,244980.602,fixed
53,0.107,3,0,0.0,10.68,1,207961.083,fixed
54,0.127,9,0,0.0,10.157,1,258793.727,fixed
55,0.153,3,0,0.0,10.058,2,237348.014,fixed
56,0.186,4,0,0.0,10.0,2,248413.156,fixed
57,0.246,12,0,0.0,9.603,2,253499.857,fixed
58,0.336,11,0,0.0,9.563,2,245992.735,fixed
59,0.429,17,0,0.0,9.159,2,255223.626,fixed
60,0.554,22,0,0.0,8.868,2,271376.136,fixed
61,0.708,20,0,0.0,8.817,2,253027.175,fixed
62,0.871,25,0,0.0,8.652,2,251502.16,fixed
63,1.029,29,0,0.0,8.481,2,292004.04,fixed
64,1.228,27,0,0.0,8.439,2,251413.792,fixed
65,1.413,30,0,0.0,8.313,2,276088.988,fixed
66,1.596,33,0,0.0,8.126,2,288061.854,fixed
67,1.817,34,0,0.0,8.125,2,301148.637,fixed
68,2.035,37,0,0.0,8.019,2,275368.976,fixed
69,2.281,42,0,0.0,7.94,2,299172.039,fixed
70,1.753,36,0,0.0,7.772,3,309238.116,fixed
71,1.633,29,0,0.0,7.737,3,305622.161,fixed
72,1.572,27,0,0.0,7.74,3,320483.054,fixed
73,1.647,31,0,0.0,7.633,3,326895.325,fixed
74,1.827,28,0,0.0,7.717,3,369677.558,fixed
75,1.987,31,0,0.0,7.672,3,358471.436,fixed
76,2.167,41,0,0.0,7.539,3,326323.075,fixed
77,2.414,40,0,0.0,7.678,3,348292.458,fixed
78,2.64,44,0,0.0,7.622,3,339561.402,fixed
79,2.833,47,0,0.0,7.469,3,368545.358,fixed
80,3.095,44,0,0.0,7.48,3,329934.191,fixed
81,3.324,47,0,0.0,7.421,3,371783.405,fixed
82,3.523,52,0,0.0,7.275,3,364277.149,fixed
83,3.828,53,0,0.0,7.232,3,322448.52,fixed
84,4.045,58,0,0.0,7.109,3,354009.679,fixed
85,4.269,61,0,0.0,7.002,3,344474.326,fixed
86,4.593,59,0,0.0,7.146,3,396341.15,fixed
87,4.864,61,0,0.0,7.091,3,360409.983,fixed
88,5.134,62,0,0.0,7.106,3,376534.628,fixed
89,5.478,64,0,0.0,7.235,3,408311.016,fixed
90,5.7,68,0,0.0,7.128,3,368284.807,fixed
91,6.047,66,0,0.0,7.198,3,384663.783,fixed
92,6.333,69,0,0.0,7.089,3,357918.717,fixed
93,6.546,71,0,0.0,6.821,3,344965.492,fixed
94,6.833,72,0,0.0,6.851,3,396566.139,fixed
95,7.12,73,0,0.0,6.823,3,362915.621,fixed
96,7.416,76,0,0.0,6.76,3,406114.846,fixed
97,7.706,76,0,0.0,6.744,3,378585.564,fixed
98,8.005,79,0,0.0,6.71,3,390184.895,fixed
99,8.303,80,0,0.0,6.637,3,403028.04,fixed
100,8.683,79,0,0.0,6.612,3,365832.115,fixed
101,8.901,85,0,0.0,6.515,3,391305.123,fixed
102,9.21,86,0,0.0,6.526,3,419396.77,fixed
103,9.607,85,0,0.0,6.598,4,425909.499,fixed
104,9.826,90,0,0.0,6.42,4,395687.835,fixed
